day,start,end,activity
0,5,6,morn_routine
0,6,7,breafkfast
0,7,10,meal_prep
0,10,13,website
0,13,14,lunch
0,14,17,website
0,19,20,dinner
0,20,21,journal
0,21,22,night_routine
1,5,6,morn_routine
1,6,7,breafkfast
1,13,14,lunch
1,19,20,dinner
1,20,21,journal
1,21,22,night_routine
2,5,6,morn_routine
2,6,7,breafkfast
2,7,10,website
2,13,14,lunch
2,19,20,dinner
2,20,21,journal
2,21,22,night_routine
3,5,7,morn_routine
3,7,8,breafkfast
3,13,14,lunch
3,19,20,dinner
3,20,21,journal
3,21,22,night_routine
4,5,8,morn_routine
4,13,14,lunch
4,16,17,break
4,19,20,dinner
4,20,21,journal
4,21,22,night_routine
5,5,6,morn_routine
5,6,7,breafkfast
5,7,10,website
5,13,14,lunch
5,19,20,dinner
5,20,21,journal
5,21,22,night_routine
6,5,6,morn_routine
6,6,7,breafkfast
6,7,9,schoonmaak
6,9,10,boodschappen_doen
6,10,13,kleren_wassen
6,13,14,lunch
6,19,20,dinner
6,20,21,journal
6,21,22,night_routine
